,Unnamed: 0,km4week,sp4week,CrossTraining,Wall21,isWAM,isMaleOver40
33,33,64.7,13.29452055,0,1.5,0,0
0,0,137.5,12.25854383,0,1.32,0,1
34,34,69.2,10.05326877,0,1.6,1,0
12,12,76.1,14.970491800000001,0,1.45,0,0
10,10,84.4,13.83606557,0,1.41,0,1
77,77,17.9,10.84848485,5,2.05,0,1
30,30,50.1,11.88142292,0,1.62,0,0
4,4,106.0,12.69461078,0,1.41,0,1
49,49,56.2,12.08602151,0,1.71,0,0
66,66,66.7,11.56647399,0,1.9,0,0
61,61,59.1,10.91076923,0,1.75,0,0
22,22,129.6,12.18808777,0,1.54,1,0
72,72,35.6,11125.0,0,2.05,0,0
54,54,54.1,11.11643836,0,1.63,0,0
18,18,67.3,13.23934426,0,1.5,0,1
44,44,78.2,12.0,0,1.64,0,0
31,31,50.1,12.17004049,0,1.56,0,0
58,58,60.3,11.70873786,0,1.88,0,1
9,9,53.5,14.07894737,4,1.37,0,1
5,5,70.0,13.7704918,1,1.38,0,0
