,Unnamed: 0,km4week,sp4week,CrossTraining,Wall21,isWAM,isMaleOver40
64,64,59.1,10.91076923,0,1.75,0,0
5,5,42.2,13.61290323,0,1.32,0,1
47,47,78.2,12.0,0,1.64,0,0
34,34,50.1,12.17004049,0,1.56,0,0
62,62,48.5,11.02272727,3,1.93,0,0
42,42,27.7,11.62237762,3,1.67,0,1
54,54,22.7,12.72897196,0,1.67,0,0
16,16,112.3,12.59439252,1,1.44,0,1
39,39,58.8,12.82909091,0,1.68,0,1
56,56,43.2,10.93670886,0,1.76,0,1
80,80,17.9,10.84848485,5,2.05,0,1
7,7,106.0,12.69461078,0,1.41,0,1
50,50,70.7,11.78333333,0,1.77,0,1
53,53,36.3,11.64705882,0,1.72,0,0
19,19,76.7,8.031413613,0,1.41,0,0
66,66,87.0,11.47252747,0,1.81,0,1
25,25,129.6,12.18808777,0,1.54,1,0
44,44,48.6,12.25210084,0,1.66,1,0
13,13,84.4,13.83606557,0,1.41,0,1
77,77,33.6,10.13065327,3,1.94,0,1
3,3,137.5,12.25854383,0,1.32,0,1
17,17,49.7,14.33653846,0,1.44,0,1
38,38,61.3,12.38383838,0,1.59,0,1
8,8,70.0,13.7704918,1,1.38,0,0
65,65,41.6,12.23529412,0,1.8,0,0
6,6,89.0,12.59433962,0,1.38,0,1
36,36,64.7,13.29452055,0,1.5,0,0
72,72,30.6,11.06024096,0,1.97,0,0
58,58,48.8,11.66533865,0,1.66,0,1
46,46,60.1,12.18243243,0,1.55,0,1
79,79,33.2,11.06666667,0,2.05,0,1
15,15,76.1,14.970491800000001,0,1.45,0,0
27,27,51.6,13.00840336,0,1.5,0,1
41,41,32.2,12.71052632,0,1.62,0,0
26,26,82.4,11.77142857,0,1.52,0,0
48,48,50.3,10.16161616,0,1.67,0,0
24,24,67.4,12.87898089,0,1.52,0,0
43,43,68.0,11.79190751,0,1.67,0,0
78,78,55.4,11.04318937,0,1.94,0,1
57,57,54.1,11.11643836,0,1.63,0,0
11,11,65.7,13.36271186,0,1.4,0,1
32,32,112.4,12.28415301,0,1.58,0,1
76,76,50.0,10.83032491,0,2.02,0,1
59,59,20.7,12.42,5,1.69,0,0
63,63,34.3,11.30769231,0,1.74,0,0
69,69,66.7,11.56647399,0,1.9,0,0
37,37,69.2,10.05326877,0,1.6,1,0
29,29,52.5,12.5498008,3,1.62,0,0
1,1,68.6,13.6744186,0,1.23,0,0
52,52,56.2,12.08602151,0,1.71,0,0
21,21,67.3,13.23934426,0,1.5,0,1
2,2,82.7,13.52043597,0,1.3,0,0
23,23,66.1,12.12844037,0,1.48,0,1
75,75,35.6,11125.0,0,2.05,0,0
74,74,53.9,11.80291971,0,1.98,0,0
20,20,94.5,11.88679245,0,1.45,0,0
60,60,54.2,11.7826087,0,1.69,0,1
71,71,40.3,8.337931034,5,1.94,0,0
14,14,76.8,12.94382022,0,1.44,0,0
51,51,26.9,13.12195122,0,1.67,0,0
