,MarathonTime
0,2.68
1,2.74
2,2.78
3,2.81
4,2.84
5,2.83
6,2.86
7,2.87
8,2.87
9,2.88
10,2.88
11,2.89
12,2.9
13,2.91
14,2.91
15,2.93
16,2.94
17,2.99
18,3.04
19,3.05
20,3.09
21,3.1
22,3.12
23,3.14
24,3.15
25,3.16
26,3.19
27,3.19
28,3.21
29,3.21
30,3.22
31,3.23
32,3.24
33,3.24
34,3.25
35,3.28
36,3.28
37,3.32
38,3.32
39,3.32
40,3.33
41,3.33
42,3.35
43,3.36
44,3.39
45,3.4
46,3.46
47,3.47
48,3.5
49,3.5
50,3.51
51,3.52
52,3.52
53,3.55
54,3.55
55,3.56
56,3.56
57,3.59
58,3.62
59,3.64
60,3.64
61,3.65
62,3.67
63,3.68
64,3.69
65,3.69
66,3.76
67,3.78
68,3.8
69,3.87
70,3.89
71,3.9
72,3.92
73,3.93
74,3.93
75,3.94
76,3.95
77,3.98
