,Unnamed: 0,MarathonTime
35,35,3.28
39,39,3.32
67,67,3.78
53,53,3.55
40,40,3.33
16,16,2.94
42,42,3.35
47,47,3.47
50,50,3.51
7,7,2.87
28,28,3.21
74,74,3.93
45,45,3.4
69,69,3.87
19,19,3.05
65,65,3.69
25,25,3.16
55,55,3.56
13,13,2.91
56,56,3.56
3,3,2.81
17,17,2.99
38,38,3.32
8,8,2.87
62,62,3.67
6,6,2.86
36,36,3.28
75,75,3.94
64,64,3.69
46,46,3.46
76,76,3.95
15,15,2.93
27,27,3.19
41,41,3.33
26,26,3.19
48,48,3.5
24,24,3.15
43,43,3.36
70,70,3.89
57,57,3.59
11,11,2.89
32,32,3.24
73,73,3.93
59,59,3.64
63,63,3.68
68,68,3.8
37,37,3.32
29,29,3.21
1,1,2.74
52,52,3.52
21,21,3.1
2,2,2.78
23,23,3.14
20,20,3.09
60,60,3.64
71,71,3.9
14,14,2.91
51,51,3.52
